Country,Population 2026,Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Median Age,Urban Pop %,World Share,Capital,Region,Subregion,Languages,Currencies
French Polynesia,283076,0.22,611,77,3660,-1158,1.47,36.7,66.3,0.0034,Papeetē,Oceania,Polynesia,French,CFP franc
Barbados,282724,0.04,101,657,430,-98,1.71,39.7,32.7,0.0034,Bridgetown,Americas,Caribbean,English,Barbadian dollar
Sao Tome & Principe,244994,1.97,4740,255,960,-691,3.47,19.7,78.9,0.003,São Tomé,Africa,Middle Africa,Portuguese,São Tomé and Príncipe dobra
Samoa,220528,0.56,1222,78,2830,-2792,3.7,19.8,16.3,0.0027,Apia,Oceania,Polynesia,"Samoan, English",Samoan tālā
CuraÃ§ao,185440,-0.03,-47,418,444,462,1.07,39.0,81.2,0.0022,Willemstad,Americas,Caribbean,"Dutch, (Eastern) Punjabi, English",Netherlands Antillean guilder
Saint Lucia,180488,0.19,339,296,610,-49,1.37,35.1,20.1,0.0022,Castries,Americas,Caribbean,English,East Caribbean dollar
Guam,170185,0.7,1186,315,540,-471,2.68,31.6,98.9,0.0021,Hagåtña,Oceania,Micronesia,"English, Chamorro, Spanish",United States dollar
Kiribati,138445,1.43,1957,171,810,-441,3.06,23.0,57.9,0.0017,South Tarawa,Oceania,Micronesia,English,"Australian dollar, Kiribati dollar"
Seychelles,134959,1.64,2180,293,460,1367,2.06,34.6,43.4,0.0016,Victoria,Africa,Eastern Africa,"French, English",Seychellois rupee
Grenada,117362,0.05,59,345,340,-199,1.45,34.9,35.8,0.0014,St. George's,Americas,Caribbean,English,East Caribbean dollar
Micronesia,114183,0.44,500,163,700,-1121,2.67,23.5,23.8,0.0014,Palikir,Oceania,Micronesia,English,United States dollar
Aruba,108164,0.02,17,601,180,73,1.6,41.7,45.1,0.0013,Oranjestad,Americas,Caribbean,"Dutch, (Eastern) Punjabi",Aruban florin
Tonga,103291,-0.43,-451,143,720,-2117,3.04,21.0,26.4,0.0012,Nuku'alofa,Oceania,Polynesia,"English, Tonga (Tonga Islands)",Tongan paʻanga
St. Vincent & Grenadines,99245,-0.68,-679,254,390,-671,1.73,34.7,62.6,0.0012,Kingstown,Americas,Caribbean,English,East Caribbean dollar
Antigua and Barbuda,94626,0.44,417,215,440,-2,1.57,36.7,28.6,0.0011,Saint John's,Americas,Caribbean,English,East Caribbean dollar
Isle of Man,84055,-0.07,-63,147,570,158,1.53,46.3,57.3,0.001,Douglas,Europe,Northern Europe,"English, Manx","British pound, Manx pound"
Andorra,83753,1.02,849,178,470,751,1.1,44.2,81.6,0.001,Andorra la Vella,Europe,Southern Europe,Catalan,Euro
U.S. Virgin Islands,83400,-0.88,-738,238,350,-360,2.05,44.9,,0.001,Charlotte Amalie,Americas,Caribbean,English,United States dollar
Cayman Islands,77196,1.78,1352,322,240,888,1.5,39.1,88.5,0.00093,George Town,Americas,Caribbean,English,Cayman Islands dollar
Dominica,65511,-0.55,-360,87,750,-241,1.46,36.6,85.6,0.00079,Roseau,Americas,Caribbean,English,East Caribbean dollar
Bermuda,64459,-0.15,-96,1289,50,-9,1.42,46.4,93.0,0.00078,Hamilton,Americas,Northern America,English,Bermudian dollar
Faeroe Islands,56526,0.94,524,40,1396,311,2.19,37.1,39.5,0.00068,Tórshavn,Europe,Northern Europe,Faroese,"Danish krone, Faroese króna"
Greenland,55629,-0.21,-116,0,410450,-249,1.9,35.5,91.2,0.00067,Nuuk,Americas,Northern America,Kalaallisut,Danish krone
Turks and Caicos,47148,0.63,293,50,950,151,1.43,39.6,80.0,0.00057,Cockburn Town,Americas,Caribbean,English,United States dollar
Saint Kitts & Nevis,46992,0.15,70,181,260,11,1.5,36.5,39.8,0.00057,Basseterre,Americas,Caribbean,English,East Caribbean dollar
American Samoa,45319,-1.54,-710,227,200,-1004,2.22,29.1,,0.00055,Pago Pago,Oceania,Polynesia,"English, Samoan",United States Dollar
Sint Maarten,44447,1.19,524,1307,34,485,1.42,42.0,99.6,0.00054,Philipsburg,Americas,Caribbean,"Dutch, English",Netherlands Antillean guilder
Northern Mariana Islands,42914,-1.44,-627,93,460,-790,2.24,38.8,,0.00052,Saipan,Oceania,Micronesia,"English, Chamorro",United States dollar
Gibraltar,40867,1.85,741,4087,10,480,1.88,38.8,87.1,0.00049,Gibraltar,Europe,Southern Europe,English,Gibraltar pound
Liechtenstein,40368,0.6,240,252,160,193,1.54,44.7,14.8,0.00049,Vaduz,Europe,Central Europe,German,Swiss franc
British Virgin Islands,39936,0.51,204,266,150,105,1.06,39.1,43.9,0.00048,Road Town,Americas,Caribbean,English,United States dollar
Monaco,38087,-0.66,-254,25562,1,106,2.08,53.1,,0.00046,Monaco,Europe,Western Europe,French,Euro
Marshall Islands,35075,-3.33,-1207,195,180,-1575,2.77,20.5,,0.00042,Majuro,Oceania,Micronesia,"English, Marshallese",United States dollar
San Marino,33605,0.1,33,560,60,127,1.17,49.1,,0.0004,City of San Marino,Europe,Southern Europe,Italian,Euro
Caribbean Netherlands,31913,1.83,575,97,328,509,1.44,39.7,64.9,0.00038,Kralendijk,Americas,Caribbean,Dutch,United States dollar
Saint Martin,23898,-4.18,-1043,451,53,-1034,2.59,43.9,,0.00029,Marigot,Americas,Caribbean,"English, French, Dutch",Euro
Palau,17614,-0.28,-49,38,460,-22,1.84,38.9,,0.00021,Ngerulmud,Oceania,Micronesia,English,United States dollar
Anguilla,14817,0.6,89,165,90,33,1.34,39.1,,0.00018,The Valley,Americas,Caribbean,English,East Caribbean dollar
Cook Islands,12826,-3.29,-437,53,240,-419,1.98,38.1,,0.00015,Avarua,Oceania,Polynesia,"English, Cook Islands Māori","New Zealand dollar, Cook Islands dollar"
Nauru,12101,0.63,76,605,20,-111,3.21,20.2,93.8,0.00015,Yaren,Oceania,Micronesia,"English, Nauruan",Australian dollar
Saint Barthelemy,11550,1.19,136,550,21,143,0.84,39.1,,0.00014,Gustavia,Americas,Caribbean,French,Euro
Wallis & Futuna,11113,-0.72,-81,79,140,-80,1.39,38.6,,0.00013,Mata-Utu,Oceania,Polynesia,French,CFP franc
Tuvalu,9362,-1.37,-130,312,30,-225,3.1,24.1,89.0,0.00011,Funafuti,Oceania,Polynesia,English,"Australian dollar, Tuvaluan dollar"
Saint Pierre & Miquelon,5513,-1.09,-61,24,230,-9,1.28,47.6,,6.6e-05,Saint-Pierre,Americas,Northern America,French,Euro
Saint Helena,5147,-0.96,-50,13,390,0,1.64,51.0,34.1,6.2e-05,Jamestown,Africa,Western Africa,English,Saint Helena pound
Montserrat,4328,-0.71,-31,43,100,-10,1.45,41.8,11.7,5.2e-05,Plymouth,Americas,Caribbean,English,East Caribbean dollar
Falkland Islands,3465,-0.12,-4,0,12170,-16,1.69,43.4,68.4,4.2e-05,Stanley,Americas,South America,English,Falkland Islands pound
Tokelau,2691,3.18,83,269,10,43,2.54,27.6,,3.2e-05,Fakaofo,Oceania,Polynesia,English,New Zealand dollar
Niue,1822,0.05,1,7,260,2,2.44,35.1,45.2,2.2e-05,Alofi,Oceania,Polynesia,English,"New Zealand dollar, Niue dollar"
Holy See,506,1.0,5,1265,0,13,1.0,56.2,,6.1e-06,Vatican City,Europe,Southern Europe,"Latin, Italian, French, German",Euro
